#fake reviews
Name,Review,Rating,Timestamp
Joseph,Very helpful for quick analysis.,5,2025-05-12T01:05:17.192261
Isaac,Excellent app!,5,2025-04-25T03:42:17.192261
Erin,Nice charts and insights.,4,2025-04-28T23:47:17.192261
Andrew,Excellent app!,5,2025-05-06T16:59:17.192261
Patrick,Very helpful for quick analysis.,5,2025-05-02T04:54:17.192261
Richard,Helpful predictions!,4,2025-04-24T09:16:17.192261
Robert,Helpful predictions!,4,2025-05-06T00:08:17.192261
Kelsey,Helpful predictions!,4,2025-05-03T00:05:17.192261
Kylie,Helpful predictions!,4,2025-04-22T09:05:17.193262
David,Nice charts and insights.,4,2025-05-08T00:03:17.193262
Jerry,Helpful predictions!,4,2025-05-04T05:30:17.193262
Melissa,Very helpful for quick analysis.,5,2025-05-12T04:22:17.193262
Thomas,Good tool overall!,4,2025-04-25T13:45:17.193262
Joseph,Nice charts and insights.,4,2025-05-14T08:07:17.193262
Deborah,Helpful predictions!,4,2025-05-02T10:10:17.193262
Emily,Nice charts and insights.,4,2025-04-26T20:12:17.193262
William,Highly recommended!,5,2025-04-20T13:09:17.193262
Andrew,Nice charts and insights.,4,2025-05-12T03:16:17.193262
Jesse,Nice charts and insights.,4,2025-04-30T22:37:17.193262
Christopher,Good tool overall!,4,2025-05-12T02:40:17.194262
Kellie,Helpful predictions!,4,2025-05-16T13:22:17.194262
Katelyn,Highly recommended!,5,2025-05-12T12:29:17.194262
Alyssa,Loved the predictions and charts!,5,2025-04-23T13:46:17.194262
Robert,Loved the predictions and charts!,5,2025-05-16T01:55:17.194262
Robert,Very helpful for quick analysis.,5,2025-05-05T16:08:17.194262
Derek,Good tool overall!,4,2025-05-17T16:51:17.194262
Jonathan,Excellent app!,5,2025-05-11T23:25:17.194262
Jennifer,Loved the predictions and charts!,5,2025-05-06T00:20:17.194262
Joshua,Loved the predictions and charts!,5,2025-04-22T03:09:17.194262
Tara,Good tool overall!,4,2025-04-28T11:44:17.194262
Elizabeth,Good tool overall!,4,2025-04-19T22:27:17.195261
Melissa,Highly recommended!,5,2025-05-03T22:42:17.195261
Todd,Excellent app!,5,2025-05-13T17:37:17.195261
Justin,Very helpful for quick analysis.,5,2025-04-19T15:19:17.195261
Matthew,Highly recommended!,5,2025-05-14T23:19:17.195261
Nathan,Good tool overall!,4,2025-04-30T06:03:17.195261
Brian,Helpful predictions!,4,2025-05-18T04:00:17.195261
Arthur,Loved the predictions and charts!,5,2025-05-17T13:32:17.195261
Kelly,Good tool overall!,4,2025-04-30T02:54:17.195261
Danielle,Impressed with the interface.,4,2025-05-15T11:22:17.195261
Megan,Good tool overall!,4,2025-05-05T08:00:17.195261
Carl,Very helpful for quick analysis.,5,2025-05-12T07:52:17.195261
Melanie,Loved the predictions and charts!,5,2025-05-10T17:29:17.196261
Sharon,Highly recommended!,5,2025-05-09T03:37:17.196261
Kelsey,Excellent app!,5,2025-05-16T12:24:17.196261
Michele,Loved the predictions and charts!,5,2025-04-19T17:41:17.196261
Andrea,Nice charts and insights.,4,2025-05-07T20:27:17.196261
Andrea,Very helpful for quick analysis.,5,2025-04-29T09:04:17.196261
Dawn,Helpful predictions!,4,2025-04-19T08:31:17.196261
Jennifer,Helpful predictions!,4,2025-05-16T01:50:17.196261
Sarah,Helpful predictions!,4,2025-05-09T10:24:17.196261
Matthew,Loved the predictions and charts!,5,2025-04-27T08:43:17.196261
Angela,Highly recommended!,5,2025-05-11T04:32:17.196261
Sandra,Very helpful for quick analysis.,5,2025-05-18T05:16:17.197261
Jason,Helpful predictions!,4,2025-05-13T06:09:17.197261
Heather,Excellent app!,5,2025-05-16T02:41:17.197261
Mark,Good tool overall!,4,2025-04-22T18:00:17.197261
Alicia,Impressed with the interface.,4,2025-05-15T04:18:17.197261
Charles,Excellent app!,5,2025-04-20T18:24:17.197261
Eric,Good tool overall!,4,2025-05-07T11:41:17.197261
Joshua,Loved the predictions and charts!,5,2025-04-19T21:42:17.197261
Sophia,Nice charts and insights.,4,2025-04-20T16:36:17.197261
Aaron,Helpful predictions!,4,2025-04-23T15:46:17.197261
Stephanie,Helpful predictions!,4,2025-05-13T07:31:17.197261
Teresa,Excellent app!,5,2025-04-21T14:23:17.198261
Matthew,Impressed with the interface.,4,2025-05-07T19:45:17.198261
Benjamin,Nice charts and insights.,4,2025-05-18T08:25:17.198261
Joseph,Very helpful for quick analysis.,5,2025-05-11T02:48:17.198261
Allison,Very helpful for quick analysis.,5,2025-04-28T13:12:17.198261
Stephanie,Excellent app!,5,2025-05-15T21:26:17.198261
Terry,Excellent app!,5,2025-05-15T10:10:17.198261
Joel,Very helpful for quick analysis.,5,2025-05-05T10:05:17.198261
Maria,Impressed with the interface.,4,2025-04-20T11:25:17.198261
Robert,Excellent app!,5,2025-04-26T16:37:17.198261
Wendy,Helpful predictions!,4,2025-05-06T02:55:17.198261
Michelle,Very helpful for quick analysis.,5,2025-04-28T01:51:17.199262
Matthew,Very helpful for quick analysis.,5,2025-04-27T16:17:17.199262
Lori,Very helpful for quick analysis.,5,2025-05-02T01:25:17.199262
